AT3G45290,AT4G30850
AT2G24762,AT5G03200
AT4G15000,AT5G03240
AT3G50910,AT4G20300
AT2G18300,AT2G43060
AT2G46270,AT2G20570
AT3G07360,AT4G27300
AT3G11410,AT1G01360
AT3G17000,AT5G16530
AT2G41100,AT4G23170
AT1G75410,AT4G36870
AT4G34460,AT3G03890
AT1G49720,AT1G71830
AT1G49720,AT3G50500
AT1G58520,AT3G56370
AT1G48790,AT5G03240
AT3G18130,AT5G09650
AT1G03430,AT2G40670
AT4G14716,AT3G54826
AT2G43700,AT1G21240
AT4G30660,AT4G30850
AT5G03240,AT1G29250
AT3G52450,AT5G64840
AT5G03240,AT3G13750
AT1G14440,AT3G28920
AT5G03240,AT1G15890
AT3G50910,AT5G17450
AT2G41090,AT3G19290
AT3G18130,AT3G02230
AT3G28080,AT4G35580
AT5G03240,AT5G06960
AT4G11220,AT1G76520
AT1G45145,AT2G05710
AT5G13810,AT5G18260
AT1G69970,AT1G21240
AT3G24860,AT5G35330
AT3G49580,AT5G02870
AT2G45660,AT2G03710
AT3G10480,AT3G54826
AT5G15500,AT1G29060
AT2G24290,AT5G22290
AT4G02080,AT4G25660
AT3G16830,AT4G36920
AT5G58290,AT3G48750
AT3G25585,AT5G22290
AT1G58270,AT3G15500
AT3G45290,AT1G29060
AT3G13520,AT4G35580
AT5G01820,AT5G03240
AT4G16670,AT4G23050
AT2G22430,AT5G01820
AT5G35460,AT5G20230
AT3G47620,AT5G06370
AT5G11060,AT5G41410
AT5G03240,AT4G24220
AT1G44960,AT5G42980
AT3G09320,AT3G47620
AT1G76185,AT2G29090
AT1G18080,AT5G20630
AT1G15570,AT2G18050
AT2G25000,AT4G31800
AT4G26080,AT2G22430
AT5G59700,AT5G42980
AT3G19290,AT3G11410
AT1G18720,AT4G30850
AT3G13950,AT3G17000
AT4G19700,AT5G58730
AT1G52040,AT3G12630
AT3G19290,AT4G34000
AT4G34000,AT3G11410
AT1G27300,AT3G57090
AT1G30860,AT5G38220
AT5G12480,AT4G30850
AT5G63610,AT3G48750
AT4G35860,AT1G49200
AT1G50010,AT5G62500
AT5G58140,AT5G64330
AT5G03240,AT5G25980
AT2G04080,AT3G17000
AT2G23430,AT3G48750
AT2G34640,AT2G20180
AT4G34460,AT1G43700
AT5G03240,AT5G56870
AT1G15670,AT2G37040
AT5G03240,AT4G27320
AT3G58970,AT1G21240
AT2G42380,AT1G43700
AT2G38440,AT5G42030
AT1G15130,AT2G19830
AT1G69870,AT3G17000
AT2G20740,AT5G22290
AT1G27200,AT5G22290
AT1G27320,AT5G43560
AT3G08850,AT3G63210
AT1G70700,AT3G49580
AT1G75410,AT2G35940
AT4G17720,AT4G25660
AT5G03240,AT5G44210
AT2G19830,AT4G29820
AT1G65480,AT3G19290
AT3G17840,AT4G30780
AT3G24460,AT4G30850
AT4G17730,AT5G18050
AT5G03240,AT4G32150
AT1G10070,AT3G27960
AT4G19700,AT1G57990
AT3G16830,AT1G04100
AT3G06780,AT3G47620
AT5G05760,AT3G25520
AT1G15130,AT5G03240
AT5G35460,AT1G49200
AT5G03240,AT3G17410
AT1G28200,AT4G29820
AT5G03240,AT2G37040
AT5G03240,AT1G76790
AT2G44120,AT5G03240
AT2G35940,AT2G16400
AT1G80300,AT3G17000
AT1G65000,AT4G26530
AT5G53160,AT5G57050
AT2G41100,AT3G19290
AT1G79270,AT2G39030
AT5G02620,AT1G29060
AT5G03240,AT1G11910
AT2G20180,AT4G05320
AT5G03240,AT5G57655
AT2G41100,AT3G47620
AT1G56120,AT3G17840
AT3G47620,AT5G32440
AT2G41090,AT3G61160
AT3G54140,AT4G37680
AT2G07690,AT5G44635
AT2G28350,AT4G14560
AT3G46060,AT5G07110
AT4G16444,AT1G76185
AT3G28270,AT1G52410
AT1G60010,AT4G26450
AT5G16530,AT2G41705
AT1G44900,AT2G40550
AT4G26080,AT5G20280
AT3G55240,AT4G30780
AT1G27300,AT5G22290
AT3G04790,AT5G42980
AT1G01010,AT5G19875
AT3G02150,AT3G47620
AT1G27300,AT4G28780
AT2G41840,AT5G03240
AT5G03240,AT1G09180
AT1G49200,AT4G30850
AT1G78290,AT4G26080
AT4G25660,AT5G16250
AT4G18130,AT2G20180
AT4G11220,AT4G23630
AT1G44100,AT1G21240
AT3G60590,AT5G22290
AT1G77210,AT5G22290
AT4G37680,AT5G16530
AT4G35580,AT5G12390
AT5G27350,AT3G17000
AT5G03240,AT3G26310
AT1G14340,AT3G01660
AT3G02150,AT1G35560
AT3G53970,AT4G23050
AT1G05710,AT3G02150
AT1G34420,AT4G04020
AT5G03240,AT2G34470
AT1G34420,AT5G61010
AT1G57990,AT1G29060
AT2G40316,AT1G29060
AT1G66160,AT4G34460
AT4G17340,AT5G22290
AT3G13950,AT4G37680
AT1G74950,AT3G43440
AT1G55490,AT3G22550
AT2G42790,AT5G25440
AT3G56370,AT1G29060
AT2G33250,AT4G30850
AT3G50500,AT3G11410
AT3G29270,AT5G63850
AT5G22290,AT5G53030
AT5G03240,AT5G04230
AT1G62290,AT5G11060
AT4G39330,AT5G42980
AT2G05630,AT4G24690
AT4G14560,AT3G04730
AT1G01010,AT3G29034
AT3G18130,AT3G53990
AT2G47600,AT4G01010
AT5G03240,AT3G22890
AT3G63130,AT4G26450
AT3G54826,AT4G19700
AT1G06160,AT1G25540
AT4G17880,AT5G46760
AT1G27300,AT5G17700
AT4G23630,AT5G46330
AT5G59670,AT4G27610
AT1G14340,AT5G06370
AT4G08300,AT4G37680
AT3G02150,AT3G63210
AT3G19100,AT1G45145
AT5G24470,AT1G01060
AT2G41100,AT4G37240
AT4G22240,AT3G04790
AT1G06950,AT3G48870
AT4G25660,AT5G07110
AT1G28200,AT4G32850
AT4G11220,AT5G46330
AT3G55740,AT2G41705
AT4G26455,AT3G63130
AT1G06460,AT3G49580
AT5G22290,AT5G63850
AT4G30660,AT4G37680
AT4G13510,AT4G37680
AT1G23900,AT1G73790
AT4G09340,AT1G61150
AT3G30390,AT2G24762
AT3G58170,AT4G26450
AT3G07310,AT4G13640
AT5G03240,AT4G29900
AT5G03240,AT3G17810
AT4G25100,AT5G23310
AT5G03240,AT3G20250
AT1G50420,AT2G02080
AT1G06460,AT3G47620
AT1G14340,AT1G67865
AT4G16110,AT1G03430
AT4G31840,AT3G17000
AT2G16740,AT2G37150
AT5G03240,AT3G11630
AT5G42370,AT4G23400
AT5G04850,AT5G22950
AT4G17880,AT1G70700
AT1G75630,AT3G29270
AT2G37190,AT5G03240
AT5G10180,AT5G22290
AT1G04100,AT5G62000
AT5G47560,AT1G78995
AT3G14230,AT5G01820
AT4G27040,AT5G13860
AT1G08890,AT3G17000
AT4G29160,AT2G19830
AT3G27170,AT5G63030
AT1G57990,AT4G37680
AT1G70700,AT5G46760
AT5G03240,AT1G64780
AT4G23010,AT5G20230
AT3G09085,AT5G22290
AT1G53560,AT5G22290
AT4G04020,AT5G57050
AT3G16830,AT2G16720
AT3G29270,AT3G17000
AT2G04080,AT2G41705
AT2G29980,AT4G35580
AT1G71830,AT3G54840
AT2G35710,AT2G24180
AT5G03240,AT4G13770
AT4G04860,AT1G45145
AT1G44100,AT5G61820
AT4G02570,AT5G03240
AT1G12220,AT5G46330
AT5G42370,AT1G29060
AT5G03240,AT1G67750
AT2G32100,AT5G11060
AT3G11410,AT1G10070
AT4G35580,AT5G17700
AT5G41560,AT5G53160
AT5G11680,AT1G44960
